end_time,mean_3_days,mean_5_days,mean_7_days,change_cons_3_5,change_cons_3_7,max_temp,min_temp,mean_temp,median_temp,range_temp,diff_cons_now_1_day,diff_cons_now_2_day,diff_cons_now_3_day,diff_cons_now_4_day,diff_cons_now_5_day,diff_cons_now_6_day,diff_cons_now_7_day,diff_cons_now_8_day,diff_cons_now_9_day,diff_cons_now_10_day,diff_max_temp_now_1_day,diff_max_temp_now_2_day,diff_max_temp_now_3_day,diff_max_temp_now_4_day,diff_max_temp_now_5_day,diff_max_temp_now_6_day,diff_max_temp_now_7_day,diff_max_temp_now_8_day,diff_max_temp_now_9_day,diff_min_temp_now_1_day,diff_min_temp_now_2_day,diff_min_temp_now_3_day,diff_min_temp_now_4_day,diff_min_temp_now_5_day,diff_min_temp_now_6_day,diff_min_temp_now_7_day,diff_min_temp_now_8_day,diff_min_temp_now_9_day,diff_mean_temp_now_1_day,diff_mean_temp_now_2_day,diff_mean_temp_now_3_day,diff_mean_temp_now_4_day,diff_mean_temp_now_5_day,diff_mean_temp_now_6_day,diff_mean_temp_now_7_day,diff_mean_temp_now_8_day,diff_mean_temp_now_9_day
2015-06-21 14:00:00,0.0067,0.0201,0.014357,-0.0134,-0.007657,17,10,12.133333,12,7,-0.0201,0,0,-0.0804,0,0,-0.0067,0,0,0,3,1,-3,3,1,-2,-11,-7,-5,8,7,13,11,7,6,7,9,12,5.458333,4.375,3,5.291667,3.958333,0.541667,-3.958333,-0.708333,2
2015-06-22 14:00:00,0.0067,0.00402,0.014357,0.00268,-0.007657,15,11,12.2,12,4,0,-0.0201,0,0,-0.0804,0,0,-0.0067,0,0,-2,1,-1,-5,1,-1,-4,-13,-9,5,6,5,11,9,5,4,5,7,2.458333,3.458333,2.375,1,3.291667,1.958333,-1.458333,-5.958333,-2.708333
2015-06-23 14:00:00,0,0.00402,0.014357,-0.00402,-0.014357,18,9,12.733333,13,9,0,0,-0.0201,0,0,-0.0804,0,0,-0.0067,0,2,1,4,2,-2,4,2,-1,-10,10,8,9,8,14,12,8,7,8,5.625,5.458333,6.458333,5.375,4,6.291667,4.958333,1.541667,-2.958333
2015-06-24 14:00:00,0,0.00402,0.002871,-0.00402,-0.002871,14,12,12.466667,12,2,0,0,0,-0.0201,0,0,-0.0804,0,0,-0.0067,-4,-2,-3,0,-2,-6,0,-2,-5,5,6,4,5,4,10,8,4,3,0.416667,1.625,1.458333,2.458333,1.375,0,2.291667,0.958333,-2.458333
2015-06-25 14:00:00,0,0,0.002871,0,-0.002871,14,10,12.133333,12,4,0,0,0,0,-0.0201,0,0,-0.0804,0,0,0,-4,-2,-3,0,-2,-6,0,-2,3,5,6,4,5,4,10,8,4,1.75,0.416667,1.625,1.458333,2.458333,1.375,0,2.291667,0.958333
2015-06-26 14:00:00,0,0,0.002871,0,-0.002871,19,12,15.133333,14,7,0,0,0,0,0,-0.0201,0,0,-0.0804,0,5,5,1,3,2,5,3,-1,5,9,8,10,11,9,10,9,15,13,6.708333,6.75,5.416667,6.625,6.458333,7.458333,6.375,5,7.291667
2015-06-27 14:00:00,0,0,0,0,0,21,12,15.666667,16,9,0,0,0,0,0,0,-0.0201,0,0,-0.0804,1,7,7,3,5,4,7,5,1,9,11,10,12,13,11,12,11,17,5.333333,8.708333,8.75,7.416667,8.625,8.458333,9.458333,8.375,7
2015-06-28 14:00:00,0,0,0,0,0,21,13,16.266667,16,8,0,0,0,0,0,0,0,-0.0201,0,0,0,1,7,7,3,5,4,7,5,9,9,11,10,12,13,11,12,11,4.75,5.333333,8.708333,8.75,7.416667,8.625,8.458333,9.458333,8.375
2015-06-29 14:00:00,0,0,0,0,0,16,14,14.533333,14,2,0,0,0,0,0,0,0,0,-0.0201,0,-6,-5,-4,2,2,-2,0,-1,2,3,4,4,6,5,7,8,6,7,-0.916667,-0.25,0.333333,3.708333,3.75,2.416667,3.625,3.458333,4.458333
2015-06-30 14:00:00,0,0,0,0,0,23,12,16.533333,15,11,0,0,0,0,0,0,0,0,0,-0.0201,4,1,2,3,9,9,5,7,6,11,10,11,11,13,12,14,15,13,8.041667,6.083333,6.75,7.333333,10.708333,10.75,9.416667,10.625,10.458333
2015-07-01 14:00:00,0,0,0,0,0,22,13,17.8,18,9,0,0,0,0,0,0,0,0,0,0,-1,3,0,1,2,8,8,4,6,10,10,9,10,10,12,11,13,14,4.583333,7.041667,5.083333,5.75,6.333333,9.708333,9.75,8.416667,9.625
2015-07-02 14:00:00,0,0,0,0,0,25,10,17.466667,19,15,0,0,0,0,0,0,0,0,0,0,3,2,6,3,4,5,11,11,7,13,13,13,12,13,13,15,14,16,7.541667,7.583333,10.041667,8.083333,8.75,9.333333,12.708333,12.75,11.416667
2015-07-03 14:00:00,0,0,0,0,0,26,15,20.533333,21,11,0,0,0,0,0,0,0,0,0,0,1,4,3,7,4,5,6,12,12,16,14,14,14,13,14,14,16,15,7.25,8.541667,8.583333,11.041667,9.083333,9.75,10.333333,13.708333,13.75
2015-07-04 14:00:00,0,0,0,0,0,30,17,23.066667,23,13,0,0,0,0,0,0,0,0,0,0,3,5,8,7,11,8,9,10,16,15,20,18,18,18,17,18,18,20,8.208333,11.25,12.541667,12.583333,15.041667,13.083333,13.75,14.333333,17.708333
2015-07-05 14:00:00,0,0,0,0,0,32,17,24.866667,25,15,0,0,0,0,0,0,0,0,0,0,2,5,7,10,9,13,10,11,12,15,17,22,20,20,20,19,20,20,8.041667,10.208333,13.25,14.541667,14.583333,17.041667,15.083333,15.75,16.333333
2015-07-06 14:00:00,0,0,0,0,0,32,20,25.666667,25,12,0,0,0,0,0,0,0,0,0,0,-1,2,5,7,10,9,13,10,11,15,15,17,22,20,20,20,19,20,5.875,8.041667,10.208333,13.25,14.541667,14.583333,17.041667,15.083333,15.75
2015-07-07 14:00:00,0,0,0,0,0,23,18,20.733333,20,5,0,0,0,0,0,0,0,0,0,0,-9,-10,-7,-4,-2,1,0,4,1,3,6,6,8,13,11,11,11,10,-3.583333,-3.125,-0.958333,1.208333,4.25,5.541667,5.583333,8.041667,6.083333
2015-07-08 14:00:00,0,0,0,0,0,28,11,19.266667,20,17,0,0,0,0,0,0,0,0,0,0,5,-4,-5,-2,1,3,6,5,9,14,8,11,11,13,18,16,16,16,8,1.416667,1.875,4.041667,6.208333,9.25,10.541667,10.583333,13.041667
2015-07-09 14:00:00,0,0,0,0,0,23,18,19.666667,19,5,0,0,0,0,0,0,0,0,0,0,-5,0,-9,-10,-7,-4,-2,1,0,12,9,3,6,6,8,13,11,11,1.666667,3,-3.583333,-3.125,-0.958333,1.208333,4.25,5.541667,5.583333
2015-07-10 14:00:00,0,0,0,0,0,17,14,15.2,15,3,0,0,0,0,0,0,0,0,0,0,-6,-11,-6,-15,-16,-13,-10,-8,-5,2,6,3,-3,0,0,2,7,5,-1.708333,-4.333333,-3,-9.583333,-9.125,-6.958333,-4.791667,-1.75,-0.458333
2015-07-11 14:00:00,0,0,0,0,0,16,12,13.466667,13,4,0,0,0,0,0,0,0,0,0,0,-1,-7,-12,-7,-16,-17,-14,-11,-9,3,1,5,2,-4,-1,-1,1,6,1.083333,-2.708333,-5.333333,-4,-10.583333,-10.125,-7.958333,-5.791667,-2.75
2015-07-12 14:00:00,0.004467,0.00268,0.001914,0.001787,0.002552,20,8,14,15,12,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,3,3,-3,-8,-3,-12,-13,-10,-7,10,7,5,9,6,0,3,3,5,6.291667,5.083333,1.291667,-1.333333,0,-6.583333,-6.125,-3.958333,-1.791667
2015-07-13 14:00:00,0.004467,0.00268,0.001914,0.001787,0.002552,22,10,16.6,17,12,-0.0134,0,0,0,0,0,0,0,0,0,2,5,5,-1,-6,-1,-10,-11,-8,14,12,9,7,11,8,2,5,5,7.041667,8.291667,7.083333,3.291667,0.666667,2,-4.583333,-4.125,-1.958333
2015-07-14 14:00:00,0.004467,0.00268,0.001914,0.001787,0.002552,18,15,16.6,17,3,0,-0.0134,0,0,0,0,0,0,0,0,-4,-2,1,1,-5,-10,-5,-14,-15,8,10,8,5,3,7,4,-2,1,1.375,3.041667,4.291667,3.083333,-0.708333,-3.333333,-2,-8.583333,-8.125
2015-07-15 14:00:00,0,0.00268,0.001914,-0.00268,-0.001914,18,14,16.133333,16,4,0,0,-0.0134,0,0,0,0,0,0,0,0,-4,-2,1,1,-5,-10,-5,-14,3,8,10,8,5,3,7,4,-2,1.5,1.375,3.041667,4.291667,3.083333,-0.708333,-3.333333,-2,-8.583333
2015-07-16 14:00:00,0,0.00268,0.001914,-0.00268,-0.001914,20,13,16.533333,17,7,0,0,0,-0.0134,0,0,0,0,0,0,1,2,-2,0,3,3,-3,-8,-3,6,5,10,12,10,7,5,9,6,3.708333,3.5,3.375,5.041667,6.291667,5.083333,1.291667,-1.333333,0
2015-07-17 14:00:00,0,0,0.001914,0,-0.001914,22,11,16.133333,15,11,0,0,0,0,-0.0134,0,0,0,0,0,2,3,4,0,2,5,5,-1,-6,12,8,7,12,14,12,9,7,11,5.708333,5.708333,5.5,5.375,7.041667,8.291667,7.083333,3.291667,0.666667
2015-07-18 14:00:00,0,0,0.001914,0,-0.001914,26,13,18.866667,19,13,0,0,0,0,0,-0.0134,0,0,0,0,4,6,7,8,4,6,9,9,3,15,16,12,11,16,18,16,13,11,9.125,9.708333,9.708333,9.5,9.375,11.041667,12.291667,11.083333,7.291667
2015-07-19 14:00:00,0,0,0,0,0,24,18,21.2,21,6,0,0,0,0,0,0,-0.0134,0,0,0,-2,2,4,5,6,2,4,7,7,11,13,14,10,9,14,16,14,11,3.416667,7.125,7.708333,7.708333,7.5,7.375,9.041667,10.291667,9.083333
2015-07-20 14:00:00,0,0,0,0,0,20,11,15.4,14,9,0,0,0,0,0,0,0,-0.0134,0,0,-4,-6,-2,0,1,2,-2,0,3,5,7,9,10,6,5,10,12,10,-0.916667,-0.583333,3.125,3.708333,3.708333,3.5,3.375,5.041667,6.291667
2015-07-21 14:00:00,0,0,0,0,0,19,12,15.6,16,7,0,0,0,0,0,0,0,0,-0.0134,0,-1,-5,-7,-3,-1,0,1,-3,-1,8,4,6,8,9,5,4,9,11,4.583333,-1.916667,-1.583333,2.125,2.708333,2.708333,2.5,2.375,4.041667
2015-07-22 14:00:00,0,0,0,0,0,25,13,18.4,19,12,0,0,0,0,0,0,0,0,0,-0.0134,5,5,1,-1,3,5,6,7,3,13,14,10,12,14,15,11,10,15,8.958333,10.583333,4.083333,4.416667,8.125,8.708333,8.708333,8.5,8.375
2015-07-23 14:00:00,0,0,0,0,0,27,13,19.733333,20,14,0,0,0,0,0,0,0,0,0,0,2,7,7,3,1,5,7,8,9,14,15,16,12,14,16,17,13,12,8.083333,10.958333,12.583333,6.083333,6.416667,10.125,10.708333,10.708333,10.5
2015-07-24 14:00:00,0,0,0,0,0,23,17,19.4,19,6,0,0,0,0,0,0,0,0,0,0,-4,-2,3,3,-1,-3,1,3,4,10,10,11,12,8,10,12,13,9,1.666667,4.083333,6.958333,8.583333,2.083333,2.416667,6.125,6.708333,6.708333
2015-07-25 14:00:00,0.002233,0.00134,0.000957,0.000893,0.001276,23,10,16.466667,18,13,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0,-4,-2,3,3,-1,-3,1,3,10,10,10,11,12,8,10,12,13,4.291667,1.666667,4.083333,6.958333,8.583333,2.083333,2.416667,6.125,6.708333
2015-07-26 14:00:00,0.002233,0.00134,0.000957,0.000893,0.001276,27,16,19.533333,19,11,-0.0067,0,0,0,0,0,0,0,0,0,4,4,0,2,7,7,3,1,5,17,14,14,14,15,16,12,14,16,9.416667,8.291667,5.666667,8.083333,10.958333,12.583333,6.083333,6.416667,10.125
2015-07-27 14:00:00,0.002233,0.00134,0.000957,0.000893,0.001276,19,14,15.466667,15,5,0,-0.0067,0,0,0,0,0,0,0,0,-8,-4,-4,-8,-6,-1,-1,-5,-7,3,9,6,6,6,7,8,4,6,-1.625,1.416667,0.291667,-2.333333,0.083333,2.958333,4.583333,-1.916667,-1.583333
2015-07-28 14:00:00,0,0.00134,0.000957,-0.00134,-0.000957,19,11,14.2,13,8,0,0,-0.0067,0,0,0,0,0,0,0,-1,-8,-4,-4,-8,-6,-1,-1,-5,10,3,9,6,6,6,7,8,4,3.625,-1.625,1.416667,0.291667,-2.333333,0.083333,2.958333,4.583333,-1.916667
2015-07-29 14:00:00,0,0.00134,0.000957,-0.00134,-0.000957,19,15,16.6,16,4,0,0,0,-0.0067,0,0,0,0,0,0,-1,-1,-8,-4,-4,-8,-6,-1,-1,8,10,3,9,6,6,6,7,8,3.666667,3.625,-1.625,1.416667,0.291667,-2.333333,0.083333,2.958333,4.583333
2015-07-30 14:00:00,0,0,0.000957,0,-0.000957,20,14,16,15,6,0,0,0,0,-0.0067,0,0,0,0,0,1,0,0,-7,-3,-3,-7,-5,0,6,9,11,4,10,7,7,7,8,3.625,4.666667,4.625,-0.625,2.416667,1.291667,-1.333333,1.083333,3.958333
2015-07-31 14:00:00,0,0,0.000957,0,-0.000957,16,12,13.2,13,4,0,0,0,0,0,-0.0067,0,0,0,0,-4,-3,-4,-4,-11,-7,-7,-11,-9,5,2,5,7,0,6,3,3,3,1.291667,-0.375,0.666667,0.625,-4.625,-1.583333,-2.708333,-5.333333,-2.916667
2015-08-01 14:00:00,0.004467,0.00268,0.001914,0.001787,0.002552,16,11,13.266667,13,5,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134,0.0067,0.0134,0.0134,0.0134,0,-4,-3,-4,-4,-11,-7,-7,-11,4,5,2,5,7,0,6,3,3,2.291667,1.291667,-0.375,0.666667,0.625,-4.625,-1.583333,-2.708333,-5.333333
2015-08-02 14:00:00,0.0067,0.00402,0.002871,0.00268,0.003829,21,6,13.266667,15,15,-0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0,0.0067,0.0067,5,5,1,2,1,1,-6,-2,-2,13,9,10,7,10,12,5,11,8,8.083333,7.291667,6.291667,4.625,5.666667,5.625,0.375,3.416667,2.291667
2015-08-03 14:00:00,0.0067,0.00402,0.002871,0.00268,0.003829,28,12,19.866667,20,16,-0.0067,-0.0134,0,0,0,0,0,0,-0.0067,0,6,12,12,8,9,8,8,1,5,22,20,16,17,14,17,19,12,18,13.125,15.083333,14.291667,13.291667,11.625,12.666667,12.625,7.375,10.416667
2015-08-04 14:00:00,0.004467,0.00536,0.003829,-0.000893,0.000638,29,12,20,19,17,0.0067,0,-0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0,1,7,13,13,9,10,9,9,2,17,23,21,17,18,15,18,20,13,8.333333,14.125,16.083333,15.291667,14.291667,12.625,13.666667,13.625,8.375
2015-08-05 14:00:00,0.002233,0.00536,0.003829,-0.003127,-0.001595,32,18,24.933333,24,14,-0.0067,0,-0.0067,-0.0134,0,0,0,0,0,0,3,4,10,16,16,12,13,12,12,20,20,26,24,20,21,18,21,23,10.166667,11.333333,17.125,19.083333,18.291667,17.291667,15.625,16.666667,16.625
